,A.1 Total Costs,A.1_Expected Number of Deaths,A.2 Total Costs,A.2_Expected Number of Deaths,RfR Total Costs,Expected Evacuation Costs
213,58934939.846400745,0.008307091863624437,130150927.71090408,0.0005305096255704047,121200000.0,1298.035858422889
214,75253694.5178941,0.007691751725578184,68798537.67105806,0.024339013356752606,0.0,0.0
215,83497824.69174261,0.0,116657442.09362298,0.013832671150924354,30700000.0,0.0
216,82486364.32617709,0.0,82006672.87217098,0.05072512260476933,0.0,0.0
217,128674397.76670545,0.0,62558632.23548071,0.028139573682715552,1051100000.0,0.0
218,284013002.7229427,0.0,191279665.0495156,0.0013771114473513017,1542000000.0,0.0
219,186608877.28058475,0.036474750306927775,60343067.98734975,0.005086323540061657,242400000.0,1872.1918128130553
220,83497824.69174261,0.0,19714713.83173465,0.008214499353795573,317500000.0,2221.9820451797445
221,101526442.81664267,0.018237375153463888,66728027.209831744,0.011880246234628718,0.0,1664.6908720945696
222,0.0,0.0,170275021.71666408,0.007801411575180353,115300000.0,0.0
223,37255203.23710208,0.0,149123927.43046832,0.0,84600000.0,0.0
224,32694901.094161935,0.0,70075099.01271406,0.00443768367065302,1115300000.0,4028.041925806918
225,144765882.0244219,0.0,108083572.93596858,0.00017849128016746515,0.0,6197.502038219018
226,42291505.65437629,0.0,161590701.38056907,0.0009361693890216424,115300000.0,8192.592203631157
227,32694901.094161935,0.0,55527507.62774458,0.06409247606188456,84600000.0,0.0
228,0.0,0.0,83686762.73434097,0.006941726322410514,146000000.0,0.0
229,117299462.54481953,0.0,81778423.30273183,0.05020545120634393,1712100000.0,0.0
230,168738279.24577224,0.05065937542628858,52014818.67274299,0.059735390899310244,256100000.00000003,0.0
231,71223146.50296113,0.0,36017352.68235521,0.004979761614332767,371400000.0,3363.9830087300793
232,42291505.65437629,0.0,177557818.25452927,0.004104766512174731,535300000.0,0.0
233,169365441.75046188,0.0060791250511546295,49455401.8211896,0.001559695391862056,61400000.0,2571.445754985655
234,119045917.89979702,0.0,38009309.64550799,0.043840012971803774,716300000.0,0.0
235,85246019.34861892,0.0,13840815.352812577,0.015840888008050707,1245700000.0,0.0
